"message";"is_toxic"
"this and below assignments also should be removed";"0"
"this should be flavor_id = self.flavor_id";"0"
"bool session_adopted_ = false;";"0"
"nit: starting c++11, this could be done directly in the declaration. bool have_token = false;";"0"
"i am confused. this is the tar process we are checking. if it has exited, why do we need to kill itits already dead we already check the exit code in finish_subprocess.";"0"
"yuckuse %.70s, which will do this more gracefully";"1"
"use mock_thread_instance = mock.magicmock isalive=mock.magicmock return_value=false remove l69";"0"
"skrect local_bounds = gfx::recttoskrect getlocalbounds ;";"0"
"worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place";"0"
"so you have rename fields to obj_fields because of here, right";"0"
"unfinished docstring.";"0"
"this _exec_ipmitool method will attempt 3 times l101 if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool method, default is 3 as below def _exec_ipmitool driver_info, command, attempts=3 : ... so we just call it with ""attempts=1"" here for validation action: _exec_ipmitool driver_info, ""mc info"", attempts=1";"0"
"remove the white space here";"0"
"nit: get*_ instead of compute_ . we are not computing anything.";"0"
"this is useless if you use a boolean.";"0"
"indeed, mpu_protect_ram already did the same thing in commom/system.c. i think this part is useless.";"0"
"oh, stupid me, all i did was make it dereference invalid pieces of memory if the addresses are too big! i did manually test this and i found the expected partition size. unfortunately, neither storm nor any of our other upcoming brillo devices have nand big enough to trigger this. proto 0.2's nand is 8gb that is gigabits and all the production devices will be much smaller.";"0"
"instead of wrap_delimiter , utils.wrap_delimiter should be used. for all wrap_delimiter calls below, they should be replaced by utils.wrap_delimiter .";"0"
"you have deleted _prepare_test";"0"
"remove vmax";"0"
"checking the _reg_page_count register is more reliable. raising an exception skips the following stopdumpingtomemory call, meaning that the audio continues to dump.";"0"
"no, the internal is for services. splitting on ports is a dumb way to do security, but we are stuck with it for now";"0"
"but you still have the data used as null-terminated string below. stringpiece::data generally does not guarantee the terminator. keep this as is, we will deal with it later.";"0"
"useless braces";"0"
"this one looks to be useless.";"0"
"nit: validating *a* request body";"0"
"function keyword is a bashism and imho looks ugly compared to 'usage {'.";"1"
"this override seems useless";"0"
"as we are moving to have tenant in headers, should we probably kill it from the beginning";"0"
"because this fix modify string format from "" xx, dummy"" to "" xx dummy xx"", the original code use ',' instead of '%', then 'dummy' , i want to make sure the string is right formatted. for example: original one: >>> print ""444 %s 444"", ""aa"" 444 %s 444 aa now: >>> print ""444 %s 444"" % ""aa"" 444 aa 444";"0"
"i think trying to establish ""this->pdata == nullptr"" as a valid state is going down a rat's hole having to adapt all places that read pdata for no benefit see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a ""this->pdata == nullptr"" state not arise";"0"
"/it may happen that a service die/a service may die/";"0"
"hehe, why are you always right :- i should do some pair programming with you to avoid doing stupid stuff earlier ;- thank you!";"0"
"uint8_t constexpr kuninit = 0xff;";"0"
"should this maybe be called rootwrap-xenapi or rootwrap-xen-dom0 i am wondering if dom0 is not distinct enough to non-xen for them to know to ignore this file.";"0"
"for this, you'd just check the whether the size of entries is === 1. another option coul dbe to move the checks to the caller, butthat might be more clumsy.";"1"
"okie dokie. we should probably note that in reflection docstring, pretty sure thats cause py2.x is dumb, ha.";"0"
"useless trailing '-'. see the implementation of rand_name";"0"
"in the future, we should look into seeing if we make this a little cleaner instead of a crapload of info lines.";"1"
"could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch";"0"
"i'd like to see a lot of these mocks moved to tests/mock/{mock_file}.py";"0"
"the comment is... useless. the function is called 'validate_hash', obviously we are validating an hash here :-";"0"
"what test harness are you using for this why not use unittest2 it is already installed and has a consistent interface and output. just curious... i do not see from this commit how these tests are being executed, so i thought i would ask.";"0"
"whitespaces should be removed.";"0"
"the name is ugly, what can notitbe openstack-ec2-api-service";"1"
"all you do in the interrupt handler is call wake_up. looks like you do not need a threaded irq.";"0"
"lazy-lazy =";"1"
"must be executed";"0"
"yeah that sucked, fixed done.";"1"
"i am not sure what you mean by reference error.. how about from line 220 if lock_file_prefix: if lock_file_prefix.endswith '-' : lock_file_name = '%s%s' % lock_file_prefix, safe_name else: lock_file_name = '%s-%s' % lock_file_prefix, safe_name else: lock_file_name = safe_name";"0"
"nit: use std::make_unique here _syncedsessionsobserver = std::make_unique<synced_sessions::syncedsessionsobserverbridge> self, _browserstate ;";"0"
"fake.volume_id";"0"
"i have a doubt which could be dumb . 'fqdn' should be resolved with in the namespace context or the host context in this fix, i am assuming it to be host context.";"0"
"style is camel case, myclientsecret, myclientid, myrefreshtoken";"0"
"fk should be data_sources.id";"0"
"zhiyan, thanks for helping explanation. overall it is correct. and you are suggestion makes sense for me, will improve it in next ps. iccha, actually, this patch is related to in that patch, we are trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. the try/except can make sure we can iterate all the locations to get an available image. i improve it at here since it is breaking some unit test cases since we are introducing some new behaviour by this change. does it make sense for you";"0"
"i think you are just missing my point, or i am stupid enough to be unable to convey it properly.";"0"
"lol you called my decorator stupid...=";"1"
"this should be a uriopt instead of stropt.";"0"
"it should be testr_args += "" %s"" % set_name";"0"
"this line is super horrible and needs to die! please do something like: attempts = 1 if retries >= 1: attempts = retries + 1 or something along those lines. also - a test would be nice there are already tests that test some cases of this so just add another one in test_compute_mgr.py";"1"
"consider rename to current_l3_agents";"0"
"i think the formatting may have gotten screwedup or gerrit made it look ugly";"1"
"wrap the body of your commit messages at 72 characters.";"0"
"nit - should be without '{' and '}'";"0"
"please clean up after this fails before returning.";"0"
"might be cleaner to write an ocp that wraps this and prunes out the downloads... i know that is a lot more code/sucksbutthat is probably the cleanest way can you just put this in the factory or putitat each client";"1"
"is there any reason you do not fail if this is not true seems like a mangled header would get by this check. nit: startswith may read cleaner";"0"
"you can just leave this uncommented, it works with no_thread_safety_analysis";"0"
"nit: these migth be the first check in the routine i think we'll hit this 99% of cases";"0"
"this should be setup_receiver pep8";"0"
"ooh, burn!";"1"
"nit: a little ugly / confusing why you do not need this in write_len. maybe just store addr in a temp variable and putitin both ""if"" statements";"0"
"these downcasts need to be static_cast now";"0"
"why are not you using $actual_filters instead of writing them by hand";"0"
"yes, and ... crap";"1"
"die unrelated change!!!. : __ ____________ ____ unrelated change /_____________ _____________/ ____ __ do not ask... i had that sword in my editor yet...";"0"
"line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.";"0"
"stupid style nit - list comprehension is slightly nicer.";"1"
"instead of passing every mock, every time to this function, you could do something like that: def setup self : ... patcher = mock.patch.object someobjcet, 'qwerty' self.mock_request = patcher.start def configure_mock self, *responses : ... self.mock_request.return_value = fake_response remember to stop all mocks in teardown.";"0"
"instead of clouddbinstance, i would use clouddatabase. needs docstring.";"0"
"should we assert anything here or that is already all done by findbyfilename";"0"
"nit: newline after is_source_touch_event_set_non_blocking.";"0"
"i am not entirely sure how to run a test wit a trybot w/out messing up the live system ...";"0"
"wouldn'titbe better to re-sync the databases neutron db is the master. we do not want to rollback a change just because the slave couldn't commitit if neutron allowed the change, dragonflow must acceptitone way or another.";"0"
"remove ws here an below.";"0"
"here should be admin_snapshots_client.reset_snapshot_status";"0"
"that english language stuff always confused the hellout of me....yep, i kept wordsmithing this line and still did not like it.";"1"
"all the code you have inline below should be refactored and put into a main function main { ... } main ""$ """;"0"
"ok - i suggest you actually write 'refers to the config element' here, then, otherwise dumb people like me will wonder where the pool table is. in the snooker room, presumably.";"0"
"private_key=keypair 'private_key'";"0"
"doh. its awful! it should not be our work...";"1"
"please, remove indention of commit message.";"0"
"what if nstartrow<=0 or nstartrow>maxrow+1 the entire loop wouldn't need to be executed then.";"0"
"ah, shitwill fix.";"1"
"silly nit, this is not valid json, you are missing a closing";"1"
"#ifdef config_pm_runtime if you are feeling very analabout saving 1 byte...";"1"
"i am wondering if there is not a cleaner way to do this i am very much abusing jsonutils here!";"0"
"holy cow, when does this happen just tests any actual wsgi server that does this is horribly broken.";"1"
"iife is malformed.. should be } ;";"0"
"this cast is unavoidable, since params is a mojom struct. ditto below.";"0"
"silly me, that was the initial idea";"0"
"pid";"0"
"much better that acoles is pretty darn good huh...";"1"
"i really do not like this, we should remove all of them instead of adding more.";"0"
"i have no idea why $ local_path /genserev.py works... why is local_path here have tools it.. this worked locally, do i have some cruft in out i need to clean up to see this fail properly";"0"
"i like this, and my only real feedback is to wonder if this url should look something like: get /v2.0/usages/network/:id ... with the assumption that that allows easier expansion to other forms of usage blobs as desired. on the other hand, i do not want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.";"0"
"this should be just using ""trans"" instead of ""blocktrans""";"0"
"yes you do. you have to specify which process and which signals you actually allow kill to interact with.";"0"
"are you sure this leads to a color that makes the white letter readable you need to do something on drawfallbackiconletter to draw either white or black depending on the luminosity of the background. based on w3c recommendations, here's what you do: def luminance r, g, b : for each c in r,g,b: c = c / 255.0 if c <= 0.03928 then c = c/12.92 else c = c+0.055 /1.055 2.4 l = 0.2126 * r + 0.7152 * g + 0.0722 * b return l l = luminance r, g, b if l > 0.179 use #000000 else use #ffffff that is the way to go. there is already a getrelativeluminance that you could use instead, butitis garbage. :";"0"
"this kind of string-based flow manipulation should be under ovs_ofctl/. probably ofswitch.py";"0"
"log.error instead of log.exception log.exception should be used when you have a traceback";"0"
"you do leave the spi_tx_ch_on bit set, though. as a spi noob i guess i would have thought that you'd turn it off when you flip rx on. ...and if you actually used the packet countithink you _could_ turn it off. the code will end up putting 0xff on the bus i think when you sit and read.";"0"
"i think port_status_notifier should still be a member of mech_driver be self.port_status_notifier . otherwise it may be garbage collected and stop working.";"0"
"done";"0"
"chris, just a question about 'intrusive', how can i understand it why it sucks";"1"
"damnthought i'd gotten rid of it everywhere. new patch incoming";"1"
"useless line";"0"
"damnand i thought i had gotten it right :p";"1"
"missing signed-off-by: you can both yours and mine git commit --amend -s will add yours automatically";"0"
"oh, yes, it was inconsistent already. i just copy pasted the previous code. silly me.";"1"
"nit: /* istest */";"0"
"die. die. die xml. i'd remove this hideous reminder of a long-lost sad world.";"0"
"you canuse: if self.baymodel_attr and getattr bymodel, self.baymodel_attr, none :";"0"
"../../extensions/browser/extension_prefs.cc:348:3: error: no matching function for call to 'makecheckopvaluestring' dcheck_eq observer_list_.begin , observer_list_.end ; ../../base/logging.h:939:31: note: expanded from macro 'dcheck_eq' #define dcheck_eq val1, val2 dcheck_op eq, ==, val1, val2 ../../base/logging.h:911:29: note: expanded from macro 'dcheck_op' eat_stream_parameters << ::logging::makecheckopvaluestring etc etc etc c++ template nonsense";"0"
"oh, yeah, you have -undebug in your makefiles. ignore me.";"0"
"$values is the variable used by the values implementation. it is what you get if you use reflection on an enum. it is included in the dump as just another property, so i think it is fine to use it.";"0"
